brand_title,women_style,women_price,women_segment
120% Lino,contemporary,medium,contemporary_medium
3.1 Phillip Lim,contemporary,high,contemporary_high
3JUIN,contemporary,high,contemporary_high
3x1,contemporary,high,contemporary_high
5PREVIEW,contemporary,medium,contemporary_medium
7 For All Mankind,contemporary,high,contemporary_high
A Mere Co,contemporary,medium,contemporary_medium
A Paper Kid,contemporary-fashion,medium,contemporary-fashion_medium
A.P.C.,contemporary-fashion,medium,contemporary-fashion_medium
Academia,contemporary,medium,contemporary_medium
Acne Studios,contemporary-fashion,high,contemporary-fashion_high
Acupuncture,contemporary,medium,contemporary_medium
Add,contemporary,medium,contemporary_medium
Addicted,contemporary,high,contemporary_high
AERON,contemporary-fashion,medium,contemporary-fashion_medium
Aeronautica Militare,contemporary,medium,contemporary_medium
After Label,contemporary,high,contemporary_high
AG Adriano Goldschmied,contemporary,high,contemporary_high
AGL,contemporary,medium,contemporary_medium
Agnelle,classic,high,classic_high
Agnona,classic,high+,classic_high+
Agolde,contemporary-fashion,high,contemporary-fashion_high
Ai Riders,contemporary,medium,contemporary_medium
Alaia,fashion,high+,fashion_high+
Alanui,other,other,other
Alberta Ferretti,classic,high,classic_high
Albus Lumen,contemporary,high,contemporary_high
Alessandra Rich,contemporary-fashion,high,contemporary-fashion_high
Alessandro Vigilante,contemporary,high,contemporary_high
Alevi Milano,fashion,high+,fashion_high+
Alexander McQueen,contemporary-fashion,high+,contemporary-fashion_high+
Alexander Wang,contemporary,high,contemporary_high
Alexandre Vauthier,classic,high,classic_high
Allude,contemporary,medium,contemporary_medium
Altuzarra,other,other,other
Amina Muaddi,contemporary-fashion,high,contemporary-fashion_high
Amiri,contemporary,high,contemporary_high
Ancient Greek Sandals,contemporary,medium,contemporary_medium
Andrea Wazen,contemporary,high,contemporary_high
Andrea Ya'aqov,contemporary-fashion,medium,contemporary-fashion_medium
ANDREADAMO,contemporary-fashion,medium,contemporary-fashion_medium
Ann Demeulemeester,contemporary-fashion,high,contemporary-fashion_high
Anne Vest,contemporary,high,contemporary_high
Anton Heunis,contemporary,medium,contemporary_medium
Antonelli Firenze,classic,high,classic_high
Anya Hindmarch,other,other,other
Aquazzura,contemporary,high,contemporary_high
arch4,contemporary-fashion,high,contemporary-fashion_high
Area,contemporary-fashion,high,contemporary-fashion_high
Armarium,contemporary-fashion,high,contemporary-fashion_high
ASCENO,classic,high,classic_high
