brand_title,men_style,men_price,men_segment
424,other,other,other
(+)People,contemporary,medium,contemporary_medium
120% Lino,contemporary,medium,contemporary_medium
3.Paradis,other,other,other
44 Label Group,contemporary,medium,contemporary_medium
7 For All Mankind,contemporary,high,contemporary_high
A Paper Kid,contemporary-fashion,medium,contemporary-fashion_medium
A-COLD-WALL*,contemporary,high,contemporary_high
A.P.C.,contemporary-fashion,medium,contemporary-fashion_medium
Acne Studios,contemporary-fashion,high,contemporary-fashion_high
Acupuncture,contemporary,medium,contemporary_medium
Add,contemporary,medium,contemporary_medium
Aeronautica Militare,contemporary,medium,contemporary_medium
After Label,contemporary,high,contemporary_high
AG Adriano Goldschmied,contemporary,high,contemporary_high
Agnelle,classic,high,classic_high
Agnona,classic,high+,classic_high+
Albert Thurston,classic,high,classic_high
Aldo Brue,classic,high,classic_high
Alessandro Gherardi,contemporary,low,contemporary_low
Alexander McQueen,contemporary-fashion,high+,contemporary-fashion_high+
Allude,contemporary,medium,contemporary_medium
Altea,other,other,other
AMBUSH,contemporary-fashion,high,contemporary-fashion_high
Ami,contemporary-fashion,high,contemporary-fashion_high
Amiri,contemporary,high,contemporary_high
Andrea Campagna,classic,high,classic_high
Andrea Ventura,other,other,other
Andrea Ventura Firenze,contemporary,medium,contemporary_medium
Andrea Ya'aqov,contemporary-fashion,medium,contemporary-fashion_medium
Ann Demeulemeester,contemporary-fashion,high,contemporary-fashion_high
AOD An Other Date,contemporary-fashion,medium,contemporary-fashion_medium
Artioli,classic,high,classic_high
Aspesi,contemporary-fashion,high,contemporary-fashion_high
Attachment,contemporary-fashion,high,contemporary-fashion_high
Autry,contemporary,medium,contemporary_medium
Axel Arigato,contemporary-fashion,medium,contemporary-fashion_medium
Bacon,contemporary,medium,contemporary_medium
Balenciaga,fashion,high+,fashion_high+
Bally,classic,high,classic_high
Balmain,contemporary-fashion,high+,contemporary-fashion_high+
Barbed,contemporary,high,contemporary_high
Barracuda,contemporary,medium,contemporary_medium
Barrett,classic,high,classic_high
Barrow,contemporary,medium,contemporary_medium
Berwich,contemporary,medium,contemporary_medium
Bisibiglio,contemporary,medium,contemporary_medium
Bluemarble,contemporary,high,contemporary_high
Boglioli,classic,high,classic_high
Bogner,contemporary,medium,contemporary_medium
Bomboogie,other,other,other
BOSS,contemporary-fashion,medium,contemporary-fashion_medium
Bottega Veneta,fashion,high+,fashion_high+
Brioni,classic,high+,classic_high+
Brouback,contemporary,low,contemporary_low
Brunello Cucinelli,contemporary,high+,contemporary_high+
Burberry,contemporary-fashion,high+,contemporary-fashion_high+
C.P. Company,contemporary,high,contemporary_high
Camerlengo,contemporary,high,contemporary_high
Canada Goose,contemporary,high,contemporary_high
Canali,classic,high,classic_high
Capobianco,contemporary,low,contemporary_low
Carne Bollente,contemporary-fashion,medium,contemporary-fashion_medium
Casablanca,contemporary-fashion,high,contemporary-fashion_high
Castaner,contemporary,medium,contemporary_medium
Celine,fashion,high+,fashion_high+
CHMPS PARISSE,other,other,other
Christian Louboutin,contemporary-fashion,high+,contemporary-fashion_high+
Circolo 1901,contemporary,high,contemporary_high
Coccinelle,contemporary,medium,contemporary_medium
Colombo,classic,high+,classic_high+
Comme des Fuckdown,contemporary,medium,contemporary_medium
Corneliani,classic,high,classic_high
Cortigiani,classic,high,classic_high
Crime London,contemporary,medium,contemporary_medium
Daniele Basta,contemporary-fashion,high,contemporary-fashion_high
Daniele Fiesoli,classic,high,classic_high
Darkpark,contemporary-fashion,high,contemporary-fashion_high
Deadwood,contemporary,high,contemporary_high
Derek Rose,classic,high,classic_high
Destin,contemporary,medium,contemporary_medium
Diego Venturino,contemporary,high,contemporary_high
Diesel,contemporary-fashion,medium,contemporary-fashion_medium
Dirk Bikkembergs,contemporary,medium,contemporary_medium
Dolce & Gabbana,contemporary,high+,contemporary_high+
DOMREBEL,contemporary,high,contemporary_high
Dondup,classic,high,classic_high
Doucal's,classic,high,classic_high
Dries Van Noten,contemporary-fashion,high,contemporary-fashion_high
DRKSHDW,contemporary-fashion,medium,contemporary-fashion_medium
DRM,other,other,other
Drole De Monsieur,contemporary,high,contemporary_high
Dsquared2,contemporary,high,contemporary_high
Duno,contemporary,medium,contemporary_medium
Duvetica,contemporary,medium,contemporary_medium
Ea 7,contemporary,low,contemporary_low
Eleventy,contemporary,low,contemporary_low
Emporio Armani,contemporary,medium,contemporary_medium
Enfants Riches Deprimes,contemporary-fashion,high,contemporary-fashion_high
Enterprise Japan,contemporary-fashion,medium,contemporary-fashion_medium
Études,contemporary,medium,contemporary_medium
Farfalla,classic,high,classic_high
Fear Of God,contemporary-fashion,medium,contemporary-fashion_medium
Fedeli,classic,high,classic_high
Fefe`,contemporary,medium,contemporary_medium
Fendi,contemporary-fashion,high+,contemporary-fashion_high+
Fioroni,contemporary,high,contemporary_high
Flower Mountain,contemporary,medium,contemporary_medium
Fracap,contemporary,medium,contemporary_medium
Fradi,contemporary,medium,contemporary_medium
Fratelli Rossetti,contemporary,high,contemporary_high
Freedomday,contemporary,medium,contemporary_medium
Front street 8 Kids,contemporary,medium,contemporary_medium
GCDS,contemporary-fashion,medium,contemporary-fashion_medium
Ghoud,contemporary,medium,contemporary_medium
Giampaolo,classic,high,classic_high
Gian Carlo Rossi,other,other,other
Gianvito Rossi,contemporary,high+,contemporary_high+
Gimo's,classic,high,classic_high
Giorgio Armani,classic,high+,classic_high+
Giorgio Brato,contemporary-fashion,high,contemporary-fashion_high
Giuseppe Zanotti Design,contemporary,high,contemporary_high
Givenchy,contemporary-fashion,high+,contemporary-fashion_high+
Golden Goose Deluxe Brand,contemporary,high,contemporary_high
Gran Sasso,contemporary,low,contemporary_low
Green George,classic,high,classic_high
Gucci,contemporary-fashion,high+,contemporary-fashion_high+
H`D`S`N Baracco,contemporary,high,contemporary_high
Hannes Roether,contemporary,medium,contemporary_medium
Harris Wharf London,contemporary,medium,contemporary_medium
Headoniste,contemporary,high,contemporary_high
Hereu,contemporary-fashion,medium,contemporary-fashion_medium
Herno,contemporary,low,contemporary_low
Heron Preston,contemporary-fashion,high,contemporary-fashion_high
Hetrego,contemporary,medium,contemporary_medium
Hevo,contemporary-fashion,medium,contemporary-fashion_medium
Hide&Jack,contemporary,medium,contemporary_medium
Hidnander,contemporary,medium,contemporary_medium
